Русское название,Профиль на Кинопоиске,Год,Страна,Продюсер,Режиссёр,Сценарист,Композитор,Актёр
Девчата,http://www.kinopoisk.ru/film/44168/,1961,СССР,Л. Стулова,Юрий Чулюкин,Борис Бедный,Александра Пахмутова,"Надежда Румянцева, Николай Рыбников, Люсьена Овчинникова, Станислав Хитров, Инна Макарова, Светлана Дружинина, Нина Меньшикова, Николай Погодин, Михаил Пуговкин"
Любовь и голуби,http://www.kinopoisk.ru/film/45146/,1984,СССР,Александр Литвинов,Владимир Меньшов,Владимир Гуркин,Валентин Левашов,"Александр Михайлов, Нина Дорошина, Людмила Гурченко, Сергей Юрский, Наталья Тенякова, Янина Лисовская, Игорь Лях, Лада Сизоненко, Владимир Меньшов, Констанстин Михайлов"
Бункер,http://www.kinopoisk.ru/film/588786/,2011,Испания,"Кристиан Конти, Андрес Кальдерон, Родриго Герреро, Стефан Шмитц, Мария Самора",Андрес Баис,"Хатем Краиче, Андрес Баис, Артуро Инфанте",Федерико Хусид,"Клара Лаго, Ким Гутьеррес, Мартина Гарсия, Марсела Гардеасабаль, Мария Соледад  Родригез, Хуан Альфонсо Баптиста, Александра Стюарт"
Звезда,http://www.kinopoisk.ru/film/41360/,2002,Россия,"Александр Литвинов, Карен Шахназаров, Александр Потемкин",Николай Лебедев,"Александр Бородянский, Евгений Григорьев, Николай Лебедев, Эммануил Казакевич",Алексей Рыбников,"Игорь Петренко, Алексей Панин, Александр Семакин, Алексей Кравченко, Анатолий Гущин, Амаду Мамадаков, Юрий Лагута, Екатерина Вуличенко, Андрей Егоров, Александра Чичкова"
Горько,http://www.kinopoisk.ru/film/718558/,2013,Россия,"Илья Бурец, Дмитрий Нелидов, Сергей Светлаков, Тимур Бекмамбетов, Мария Затуловская, Ксения Касимова, Екатерина Волович",Жора Крыжовников,"Алексей Казаков, Николай Куликов, Жора Крыжовников, Илья Бурец, Дмитрий Нелидов",,"Сергей Светлаков, Юлия Александрова, Егор Корешков, Ян Цапник, Елена Валюшкина, Василий Кортуков, Юлия Стадник, Данила Якушев, Александр Паль, Валентина Мазунина"
